"","data","ano","mes","tipo","descrição","valor"
"1203",2016-07-30,"2016","Jul","pagamentos","saque ",30
"1204",2016-07-30,"2016","Jul","alimentação","coop capu",19.19
"1205",2016-08-03,"2016","Aug","alimentação","coop capu",33.64
"1206",2016-08-08,"2016","Aug","alimentação","tim",10
"1207",2016-08-09,"2016","Aug","pagamentos","saque ",40
"1208",2016-08-15,"2016","Aug","saúde","convênio ",278
"1209",2016-08-15,"2016","Aug","educação","kung fu",130
"1210",2016-08-16,"2016","Aug","moradia","vigia",45
"1211",2016-08-17,"2016","Aug","pagamentos","cx itau av brasil 15",80
"1212",2016-08-21,"2016","Aug","moradia","luz",120
"1213",2016-08-21,"2016","Aug","alimentação","sebastiao",13
"1214",2016-08-24,"2016","Aug","pagamentos","cx itau av industria",60
"1215",2016-08-25,"2016","Aug","saúde","coop capuava (3/3)",53.76
"1216",2016-08-25,"2016","Aug","corolla","mercadopago (2/3)",52.04
"1217",2016-08-25,"2016","Aug","corolla","webmotors (2/3)",49.97
"1218",2016-08-25,"2016","Aug","alimentação","coop capuava",42.19
"1219",2016-08-25,"2016","Aug","alimentação","sacolao saude st",85.43
"1220",2016-08-25,"2016","Aug","saúde","extra farma loja 18",9.4
"1221",2016-08-25,"2016","Aug","equipamentos","mercadopago",24.89
"1222",2016-08-25,"2016","Aug","alimentação","coop capuava",55.16
"1223",2016-08-25,"2016","Aug","transporte","auto posto miro",35
"1224",2016-08-25,"2016","Aug","alimentação","pao do marques",7.4
"1225",2016-08-25,"2016","Aug","transporte","carrefour 409 psc",156.27
"1226",2016-08-25,"2016","Aug","equipamentos","ec*alipay",17.39
"1227",2016-08-25,"2016","Aug","alimentação","odair jose silveira co",54
"1228",2016-08-25,"2016","Aug","alimentação","coop capuava",44.44
"1229",2016-08-25,"2016","Aug","alimentação","sacolao saude st",92.11
"1230",2016-08-25,"2016","Aug","saúde","farma supercenter 4319",29.07
"1231",2016-08-25,"2016","Aug","alimentação","sup cent st andre 2800",38.66
"1232",2016-08-25,"2016","Aug","equipamentos","bateria câmera ",30
"1233",2016-08-25,"2016","Aug","alimentação","sagrado coracao",34.32
"1234",2016-08-25,"2016","Aug","alimentação","hitamax minimercado",27.16
"1235",2016-08-25,"2016","Aug","alimentação","hitamax",28.35
"1236",2016-08-25,"2016","Aug","transporte","carrefour pso 409",163.72
"1237",2016-08-25,"2016","Aug","saúde","fcia pague menos",5.05
"1238",2016-08-25,"2016","Aug","alimentação","hitamax minimercado",10.68
"1239",2016-08-25,"2016","Aug","alimentação","sacolao saude st",115.36
"1240",2016-08-25,"2016","Aug","alimentação","coop capuava",36.12
"1241",2016-08-25,"2016","Aug","pet","bebedouro ",29.8
"1242",2016-08-25,"2016","Aug","alimentação","coop capuava",47.98
"1243",2016-08-25,"2016","Aug","transporte","carrefour pso 409",167.65
"1244",2016-08-25,"2016","Aug","lazer","grao expresso",9.6
"1245",2016-08-25,"2016","Aug","alimentação","carrefour sto 248",57.14
"1246",2016-08-25,"2016","Aug","equipamentos","ferragens marukai ltda",23.2
"1247",2016-08-25,"2016","Aug","alimentação","sacolao saude st",109
"1248",2016-08-25,"2016","Aug","alimentação","coop capuava",21.29
"1249",2016-08-25,"2016","Aug","alimentação","extra 1338",42.39
"1250",2016-08-25,"2016","Aug","equipamentos","miamor",8.59
"1251",2016-08-25,"2016","Aug","transporte","auto posto miro",30
"1252",2016-08-25,"2016","Aug","alimentação","assai atacadista",125.19
